Player,Destination Club,Pos,Age,Transfer Fee (EUR),MP,Min,Gls,Ast,G_A,G_A_per90,xG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90
Bénie TraoréB. Traoré,Sheffield United,FW,20.0,460000000.0,8.0,387.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.11627906976744186,1.627906976744186,2.0930232558139537,3.255813953488372
Anis SlimaneA. Slimane,Sheffield United,MF,22.0,270000000.0,15.0,419.0,0.0,0.0,0.0,0.0,0.1718377088305489,0.06443914081145584,0.6443914081145584,2.5775656324582337,4.510739856801909
Tom DaviesT. Davies,Sheffield United,MF,25.0,0.0,9.0,221.0,0.0,0.0,0.0,0.0,0.16289592760180996,0.04072398190045249,1.2217194570135745,3.257918552036199,1.2217194570135745
Brennan JohnsonB. Johnson,Tottenham Hotspur,FW,22.0,5500000000.0,32.0,2085.0,5.0,10.0,15.0,0.6474820143884892,0.4446043165467626,0.3496402877697841,4.18705035971223,3.107913669064748,12.647482014388489
James MaddisonJ. Maddison,Tottenham Hotspur,MF,26.0,4630000000.0,28.0,2135.0,4.0,9.0,13.0,0.5480093676814989,0.26978922716627635,0.24871194379391104,2.4449648711943794,9.442622950819672,6.576112412177986
Pedro PorroP. Porro,Tottenham Hotspur,DF,23.0,4000000000.0,35.0,3089.0,3.0,7.0,10.0,0.29135642602784073,0.08449336354807381,0.20977662674004532,1.6607316283586921,5.65231466494011,4.603431531239884
Micky van de VenM. van de Ven,Tottenham Hotspur,DF,22.0,4000000000.0,27.0,2339.0,3.0,0.0,3.0,0.11543394613082515,0.023086789226165028,0.0,0.7310816588285592,4.155622060709705,0.3463018383924754
Dejan KulusevskiD. Kulusevski,Tottenham Hotspur,FW,23.0,3000000000.0,36.0,2762.0,8.0,3.0,11.0,0.3584359160028964,0.15314989138305576,0.2509051412020275,4.920347574221578,4.692251991310644,12.643012309920348
Alejo VelizA. Veliz,Tottenham Hotspur,FW,19.0,1500000000.0,8.0,50.0,1.0,0.0,1.0,1.7999999999999998,0.36,0.0,0.0,1.7999999999999998,5.3999999999999995
Manor SolomonM. Solomon,Tottenham Hotspur,FW,24.0,0.0,5.0,199.0,0.0,2.0,2.0,0.9045226130653266,0.18090452261306533,0.36180904522613067,7.688442211055276,4.974874371859296,19.899497487437184
Mohammed KudusM. Kudus,West Ham United,FW,22.0,4300000000.0,33.0,2484.0,8.0,6.0,14.0,0.5072463768115941,0.18478260869565216,0.12681159420289853,4.239130434782608,2.898550724637681,7.826086956521738
Edson ÁlvarezE. Álvarez,West Ham United,MF,25.0,3800000000.0,31.0,2377.0,1.0,1.0,2.0,0.07572570466975179,0.049221708035338665,0.022717711400925534,0.7572570466975179,3.4455195624737063,0.9844341607067733
James Ward-ProwseJ. Ward-Prowse,West Ham United,MF,28.0,3480000000.0,37.0,3001.0,7.0,7.0,14.0,0.4198600466511163,0.17994001999333556,0.23392202599133624,0.5398200599800067,4.318560479840054,1.8893702099300236
Konstantinos MavropanosK. Mavropanos,West Ham United,DF,25.0,2000000000.0,19.0,1500.0,1.0,0.0,1.0,0.06,0.072,0.012,0.6,2.28,0.12
Matheus CunhaM. Cunha,Wolverhampton Wanderers,FW,24.0,5000000000.0,32.0,2440.0,12.0,7.0,19.0,0.7008196721311476,0.3504098360655738,0.1180327868852459,3.94672131147541,3.209016393442623,5.127049180327869
Jean-Ricner BellegardeJ. Bellegarde,Wolverhampton Wanderers,MF,25.0,1500000000.0,22.0,958.0,2.0,1.0,3.0,0.2818371607515658,0.1503131524008351,0.09394572025052192,2.8183716075156577,3.663883089770355,4.603340292275575
Santiago BuenoS. Bueno,Wolverhampton Wanderers,DF,24.0,1200000000.0,12.0,822.0,0.0,0.0,0.0,0.0,0.0,0.010948905109489052,0.3284671532846716,1.2043795620437956,0.21897810218978103
Boubacar TraoréB. Traoré,Wolverhampton Wanderers,MF,21.0,1100000000.0,24.0,819.0,0.0,0.0,0.0,0.0,0.03296703296703297,0.04395604395604396,0.989010989010989,3.186813186813187,1.6483516483516485
Enso GonzálezE. González,Wolverhampton Wanderers,MF,18.0,600000000.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
Matt DohertyM. Doherty,Wolverhampton Wanderers,DF,31.0,0.0,30.0,1150.0,1.0,0.0,1.0,0.07826086956521738,0.06260869565217392,0.10173913043478261,0.9391304347826086,2.426086956521739,5.0086956521739125
